epoch,train_rmse,test_rmse,time
0,5.5579553,6.450574,0.5947859287261963
1,5.5656133,6.441391,0.2696857452392578
2,5.572787,6.4320803,0.30518078804016113
3,5.5564246,6.423209,0.2642202377319336
4,5.55034,6.414121,0.2692530155181885
