epoch,train_rmse,test_rmse,time
0,5.7789803,6.5919547,0.5583055019378662
1,5.7482085,6.576937,0.2762024402618408
2,5.7342267,6.562207,0.2862565517425537
3,5.753971,6.547465,0.2501051425933838
4,5.721931,6.5325456,0.24976682662963867
